CMDLINE /ws2/yfulwani/anaconda3/envs/doc_class_stock/bin/python3.7 run_benchmarks.py -l ../logs/stock_stock.log
MEM 0.714844 1668459357.5599
MEM 20.496094 1668459357.6604
MEM 30.820312 1668459357.7607
MEM 50.859375 1668459357.8612
MEM 65.125000 1668459357.9617
MEM 69.550781 1668459358.0621
MEM 83.214844 1668459358.1626
MEM 95.324219 1668459358.2631
MEM 99.953125 1668459358.3636
MEM 99.953125 1668459358.4640
MEM 99.953125 1668459358.5645
MEM 99.953125 1668459358.6649
MEM 99.953125 1668459358.7654
MEM 99.953125 1668459358.8658
MEM 99.953125 1668459358.9663
MEM 99.953125 1668459359.0667
MEM 99.953125 1668459359.1672
MEM 99.953125 1668459359.2676
MEM 99.953125 1668459359.3681
MEM 100.609375 1668459359.4685
MEM 111.378906 1668459359.5690
MEM 122.750000 1668459359.6695
MEM 124.992188 1668459359.7700
MEM 141.613281 1668459359.8705
MEM 156.230469 1668459359.9710
MEM 167.621094 1668459360.0715
MEM 181.476562 1668459360.1719
MEM 194.656250 1668459360.2725
MEM 205.910156 1668459360.3730
MEM 220.347656 1668459360.4736
MEM 230.164062 1668459360.5741
MEM 245.722656 1668459360.6746
MEM 250.175781 1668459360.7752
MEM 253.464844 1668459360.8757
MEM 266.554688 1668459360.9762
MEM 218.687500 1668459361.0767
MEM 227.175781 1668459361.1773
MEM 227.175781 1668459361.2777
MEM 227.175781 1668459361.3782
MEM 227.175781 1668459361.4786
MEM 227.175781 1668459361.5791
MEM 227.175781 1668459361.6795
MEM 227.175781 1668459361.7800
MEM 227.175781 1668459361.8804
MEM 227.175781 1668459361.9809
MEM 227.175781 1668459362.0813
MEM 227.175781 1668459362.1818
MEM 227.175781 1668459362.2822
MEM 227.175781 1668459362.3827
MEM 227.175781 1668459362.4831
MEM 227.175781 1668459362.5836
MEM 227.421875 1668459362.6841
MEM 227.671875 1668459362.7846
MEM 227.921875 1668459362.8850
MEM 228.171875 1668459362.9855
MEM 228.171875 1668459363.0859
MEM 228.421875 1668459363.1864
MEM 228.671875 1668459363.2868
MEM 228.921875 1668459363.3873
MEM 229.171875 1668459363.4876
MEM 229.421875 1668459363.5881
MEM 229.671875 1668459363.6885
