CMDLINE /ws2/yfulwani/anaconda3/envs/doc_class_intel/bin/python3.7 example1.py
MEM 0.542969 1682321952.9532
MEM 16.554688 1682321953.0538
MEM 26.050781 1682321953.1543
MEM 33.804688 1682321953.2549
MEM 39.871094 1682321953.3555
MEM 41.085938 1682321953.4560
MEM 41.085938 1682321953.5565
MEM 41.085938 1682321953.6570
MEM 41.085938 1682321953.7575
MEM 41.085938 1682321953.8580
MEM 41.085938 1682321953.9585
MEM 41.085938 1682321954.0590
MEM 41.085938 1682321954.1596
MEM 41.085938 1682321954.2601
MEM 41.085938 1682321954.3606
MEM 41.085938 1682321954.4611
MEM 41.085938 1682321954.5616
MEM 41.281250 1682321954.6620
MEM 41.281250 1682321954.7625
MEM 41.281250 1682321954.8629
MEM 41.328125 1682321954.9634
MEM 41.328125 1682321955.0639
MEM 41.351562 1682321955.1643
MEM 41.351562 1682321955.2648
MEM 41.351562 1682321955.3652
MEM 41.351562 1682321955.4657
MEM 41.351562 1682321955.5662
MEM 41.351562 1682321955.6666
MEM 41.351562 1682321955.7671
MEM 41.351562 1682321955.8675
MEM 41.351562 1682321955.9680
MEM 41.351562 1682321956.0685
MEM 41.351562 1682321956.1689
MEM 41.351562 1682321956.2694
MEM 41.351562 1682321956.3699
MEM 41.351562 1682321956.4703
MEM 41.351562 1682321956.5708
MEM 41.351562 1682321956.6712
MEM 41.351562 1682321956.7717
MEM 41.597656 1682321956.8722
MEM 41.597656 1682321956.9726
MEM 41.617188 1682321957.0731
MEM 41.617188 1682321957.1735
MEM 41.617188 1682321957.2740
MEM 41.664062 1682321957.3745
MEM 41.664062 1682321957.4749
MEM 41.664062 1682321957.5754
MEM 41.664062 1682321957.6759
MEM 41.664062 1682321957.7763
MEM 41.664062 1682321957.8768
MEM 41.664062 1682321957.9773
MEM 41.664062 1682321958.0778
MEM 41.664062 1682321958.1783
MEM 41.664062 1682321958.2788
MEM 41.664062 1682321958.3793
MEM 41.664062 1682321958.4798
MEM 41.664062 1682321958.5803
MEM 41.664062 1682321958.6808
MEM 41.664062 1682321958.7813
MEM 41.664062 1682321958.8818
MEM 41.664062 1682321958.9823
MEM 41.664062 1682321959.0828
MEM 41.664062 1682321959.1833
MEM 41.664062 1682321959.2838
