CMDLINE /ws2/yfulwani/anaconda3/envs/doc_class_intel/bin/python3.7 example1.py
MEM 41.664062 1682321959.3843
MEM 41.664062 1682321959.4848
MEM 41.664062 1682321959.5853
MEM 42.515625 1682321959.6858
MEM 42.515625 1682321959.7862
MEM 42.515625 1682321959.8867
MEM 42.515625 1682321959.9871
MEM 42.515625 1682321960.0876
MEM 42.515625 1682321960.1880
MEM 42.515625 1682321960.2885
MEM 42.515625 1682321960.3890
MEM 42.515625 1682321960.4894
MEM 42.515625 1682321960.5899
MEM 42.515625 1682321960.6903
MEM 42.515625 1682321960.7908
MEM 42.515625 1682321960.8912
MEM 42.515625 1682321960.9917
MEM 42.632812 1682321961.0922
MEM 42.632812 1682321961.1926
MEM 42.632812 1682321961.2931
MEM 42.632812 1682321961.3935
MEM 42.632812 1682321961.4940
MEM 42.632812 1682321961.5945
MEM 42.632812 1682321961.6949
MEM 42.632812 1682321961.7954
MEM 42.632812 1682321961.8958
MEM 42.632812 1682321961.9963
MEM 42.632812 1682321962.0968
MEM 42.632812 1682321962.1972
MEM 42.632812 1682321962.2977
MEM 42.632812 1682321962.3981
MEM 42.632812 1682321962.4986
MEM 42.632812 1682321962.5991
MEM 42.632812 1682321962.6995
MEM 42.632812 1682321962.8000
MEM 42.632812 1682321962.9004
MEM 42.632812 1682321963.0009
MEM 42.632812 1682321963.1014
MEM 42.632812 1682321963.2019
MEM 42.632812 1682321963.3023
MEM 42.632812 1682321963.4028
MEM 42.632812 1682321963.5032
MEM 42.632812 1682321963.6037
MEM 42.632812 1682321963.7042
MEM 42.632812 1682321963.8046
MEM 42.632812 1682321963.9051
MEM 42.632812 1682321964.0055
MEM 42.632812 1682321964.1060
MEM 42.632812 1682321964.2065
MEM 42.632812 1682321964.3069
MEM 42.632812 1682321964.4074
MEM 42.632812 1682321964.5078
MEM 42.632812 1682321964.6083
MEM 42.632812 1682321964.7088
MEM 42.632812 1682321964.8092
MEM 42.632812 1682321964.9097
MEM 43.152344 1682321965.0102
MEM 43.152344 1682321965.1106
MEM 43.152344 1682321965.2111
MEM 43.152344 1682321965.3115
MEM 43.152344 1682321965.4120
MEM 43.398438 1682321965.5124
MEM 43.398438 1682321965.6129
MEM 43.398438 1682321965.7134
MEM 43.398438 1682321965.8138
MEM 43.398438 1682321965.9143
MEM 43.398438 1682321966.0147
MEM 43.398438 1682321966.1152
MEM 43.398438 1682321966.2156
MEM 43.398438 1682321966.3161
MEM 43.398438 1682321966.4166
MEM 43.398438 1682321966.5170
MEM 43.398438 1682321966.6175
MEM 43.398438 1682321966.7180
MEM 43.398438 1682321966.8184
MEM 43.398438 1682321966.9189
MEM 43.398438 1682321967.0193
MEM 43.398438 1682321967.1198
MEM 43.398438 1682321967.2202
MEM 43.398438 1682321967.3207
MEM 43.398438 1682321967.4212
MEM 43.398438 1682321967.5216
MEM 43.398438 1682321967.6221
MEM 43.398438 1682321967.7225
MEM 43.398438 1682321967.8230
MEM 43.398438 1682321967.9235
MEM 43.398438 1682321968.0239
MEM 43.398438 1682321968.1244
MEM 43.398438 1682321968.2248
MEM 43.398438 1682321968.3254
MEM 43.398438 1682321968.4259
MEM 43.398438 1682321968.5263
MEM 43.398438 1682321968.6268
MEM 43.398438 1682321968.7273
MEM 43.398438 1682321968.8277
MEM 43.398438 1682321968.9282
MEM 43.945312 1682321969.0287
MEM 44.105469 1682321969.1291
MEM 44.121094 1682321969.2296
MEM 44.121094 1682321969.3301
MEM 44.121094 1682321969.4305
MEM 41.621094 1682321969.5311
